Data,Fix,Top,Premium M.,Premium F.,Multiprev M.,Multiprev F.,Previdence,XP Prev,Access,Synta,Capit D. Inc,Capit D. Inc F.,Aquila6,Strategy,CW1,Inflation,Index,Alfa,Harpia,Emb,Portfolio,Multi,Volks Fusca,Fcopel,São Paulo,Reit,Reit 90,Top-Cotas,Premium M.-Cotas,Premium F.-Cotas,Multiprev M.-Cotas,Multiprev F.-Cotas,Previdence-Cotas,XP Prev-Cotas,Access-Cotas,Synta-Cotas,Capit D. Inc-Cotas,Capit D. Inc F.-Cotas,Aquila6-Cotas,Strategy-Cotas,CW1-Cotas,Inflation-Cotas,Index-Cotas,Alfa-Cotas,Harpia-Cotas,Emb-Cotas,Portfolio-Cotas,Multi-Cotas,Volks Fusca-Cotas,Fcopel-Cotas,São Paulo-Cotas,Reit-Cotas,Reit 90-Cotas
8/31/2017,122%,118%,151%,137%,#N/A,121%,124%,#N/A,168%,#N/A,#N/A,#N/A,226%,196%,241%,272%,249%,-92%,186%,134%,197%,-10%,#N/A,336%,#N/A,417%,#N/A,396976361.46,397198010.94,158602505.92,158843162.03,29858434.85,9115590.98,#N/A,27293892.44,#N/A,#N/A,#N/A,90903595.89,128983716.13,81171466.13,61547394.79,61506200.78,68843824.40,81669191.15,229531192.05,164610633.71,155184399.62,#N/A,252986461.96,#N/A,107533089.49,#N/A
9/1/2017,102%,98%,89%,85%,#N/A,93%,102%,#N/A,106%,#N/A,#N/A,#N/A,-60%,-278%,9%,-89%,-90%,37%,23%,134%,-145%,189%,#N/A,41%,#N/A,-1326%,#N/A,395417549.23,395597899.29,159651349.40,159794783.93,31381888.59,9118817.17,#N/A,27333939.31,#N/A,#N/A,#N/A,90884683.35,128859440.19,81173876.21,61528408.29,61486885.69,68852691.08,81675757.95,229638247.00,164327782.12,155286465.87,#N/A,253022044.96,#N/A,107038185.90,#N/A
9/4/2017,104%,100%,114%,106%,#N/A,113%,119%,#N/A,164%,#N/A,#N/A,#N/A,214%,86%,211%,200%,183%,134%,123%,134%,209%,-151%,#N/A,165%,#N/A,1141%,#N/A,393860391.39,394140745.41,159314506.06,159538181.71,32521104.50,9186826.26,#N/A,27349471.87,#N/A,#N/A,#N/A,90952165.92,128898021.60,81233232.37,61571084.59,61525842.86,68884821.14,81710605.80,229745358.53,164446854.93,155205149.65,#N/A,253167236.41,#N/A,107462234.15,#N/A
9/5/2017,102%,98%,112%,104%,#N/A,104%,105%,#N/A,152%,#N/A,#N/A,#N/A,315%,100%,248%,291%,270%,109%,130%,134%,305%,201%,#N/A,128%,#N/A,2109%,#N/A,392400180.42,392955851.66,159376257.84,159601375.36,33177149.43,9190176.83,#N/A,27363906.26,#N/A,#N/A,#N/A,91051714.19,128942831.20,81303225.87,61633274.89,61583424.60,68910854.35,81747365.89,229852523.52,164620848.16,155313512.65,#N/A,253279942.84,#N/A,108112999.49,#N/A
9/6/2017,118%,114%,151%,137%,#N/A,116%,104%,#N/A,212%,#N/A,#N/A,#N/A,92%,246%,251%,291%,225%,273%,242%,-190%,263%,297%,#N/A,378%,#N/A,628%,#N/A,392561558.29,392945923.62,159459795.35,159685384.24,33636746.54,9263860.83,#N/A,27384007.31,#N/A,#N/A,#N/A,91080844.76,128913146.04,81373989.92,61635471.89,61631482.44,68976119.69,81816046.06,229701315.14,164771404.42,155473508.39,#N/A,253612247.50,#N/A,108348708.25,#N/A
9/8/2017,109%,105%,128%,118%,#N/A,102%,172%,#N/A,142%,#N/A,#N/A,#N/A,34%,159%,81%,120%,104%,475%,213%,114%,18%,256%,#N/A,179%,#N/A,-1001%,#N/A,392010684.10,392485348.94,159130552.62,159471862.37,34389792.73,9269406.86,#N/A,27397518.78,#N/A,#N/A,#N/A,91091730.46,128984419.24,81396740.46,61661137.73,61653749.41,69090043.17,81876583.78,229792194.47,164781893.49,155611503.05,#N/A,253769894.55,#N/A,107972294.44,#N/A
9/11/2017,96%,91%,92%,87%,#N/A,85%,94%,#N/A,18%,#N/A,#N/A,#N/A,90%,-35%,86%,63%,53%,21%,14%,128%,121%,12%,#N/A,-82%,#N/A,1005%,#N/A,391127805.95,391553781.82,159376149.53,159554849.40,35148442.87,9272126.26,#N/A,27399055.81,#N/A,#N/A,#N/A,91117178.28,128970581.96,81418356.40,61673200.61,61663896.51,69094593.07,81880194.30,229883394.65,164843772.27,155617867.56,#N/A,253705227.64,#N/A,108309487.89,#N/A
9/12/2017,88%,84%,87%,83%,#N/A,73%,81%,#N/A,13%,#N/A,#N/A,#N/A,-49%,-56%,-44%,-101%,-99%,-7%,6%,127%,-51%,113%,#N/A,-23%,#N/A,-528%,#N/A,392685287.75,394053199.20,159419431.75,159663095.09,35610306.08,9276454.24,#N/A,27400175.69,#N/A,#N/A,#N/A,91103309.52,128948168.69,81407349.12,61653773.41,61644846.29,69093107.35,81881736.19,229974027.95,164817445.09,155672431.02,#N/A,253687010.13,#N/A,108131798.48,#N/A
9/13/2017,105%,100%,118%,109%,#N/A,101%,107%,#N/A,88%,#N/A,#N/A,#N/A,267%,70%,216%,228%,206%,107%,125%,127%,286%,-58%,#N/A,129%,#N/A,1925%,#N/A,394313837.40,394761921.75,159778103.83,159917224.70,36002965.24,9279525.04,#N/A,27407679.46,#N/A,#N/A,#N/A,91178997.29,128976334.65,81461871.61,61697449.23,61684357.21,69116048.46,81913401.22,230064623.39,164963749.46,155644147.56,#N/A,253788651.64,#N/A,108778213.90,#N/A
9/14/2017,113%,108%,138%,126%,#N/A,109%,118%,#N/A,199%,#N/A,#N/A,#N/A,241%,126%,265%,228%,206%,136%,144%,116%,211%,277%,#N/A,180%,#N/A,1042%,#N/A,392752670.93,393316703.29,160046558.90,160575371.33,37383763.27,9282926.55,#N/A,27424585.73,#N/A,#N/A,#N/A,91247348.65,129026688.16,81528956.62,61741115.04,61723852.96,69145247.27,81949986.75,230147593.25,165071685.58,155778062.66,#N/A,253930496.39,#N/A,109130243.56,#N/A
